cellI,x,y,z,V,Ux,Uy,Uz
28968,8.68242,0.59375,0.005,1.9005e-06,3.71612,-0.00224612,0
28969,8.69762,0.59375,0.005,1.89833e-06,3.71629,-0.0022462,0
28970,8.71279,0.59375,0.005,1.89616e-06,3.71646,-0.00224633,0
28971,8.72795,0.59375,0.005,1.89399e-06,3.71663,-0.00224651,0
28972,8.7431,0.59375,0.005,1.89183e-06,3.7168,-0.00224675,0
28973,8.75822,0.59375,0.005,1.88966e-06,3.71697,-0.00224704,0
28974,8.77333,0.59375,0.005,1.8875e-06,3.71714,-0.00224739,0
28975,8.78842,0.59375,0.005,1.88535e-06,3.71731,-0.0022478,0
28976,8.8035,0.59375,0.005,1.88319e-06,3.71748,-0.00224828,0
28977,8.81856,0.59375,0.005,1.88104e-06,3.71765,-0.00224882,0
28978,8.83359,0.59375,0.005,1.87889e-06,3.71782,-0.00224944,0
28979,8.84862,0.59375,0.005,1.87674e-06,3.71799,-0.00225014,0
28980,8.86362,0.59375,0.005,1.87459e-06,3.71816,-0.00225092,0
28981,8.87861,0.59375,0.005,1.87245e-06,3.71833,-0.00225179,0
28982,8.89358,0.59375,0.005,1.87031e-06,3.7185,-0.00225275,0
28983,8.90854,0.59375,0.005,1.86817e-06,3.71866,-0.0022538,0
28984,8.92347,0.59375,0.005,1.86604e-06,3.71883,-0.00225494,0
28985,8.93839,0.59375,0.005,1.8639e-06,3.719,-0.00225618,0
28986,8.9533,0.59375,0.005,1.86177e-06,3.71916,-0.00225753,0
28987,8.96818,0.59375,0.005,1.85964e-06,3.71933,-0.00225899,0
28988,8.98305,0.59375,0.005,1.85752e-06,3.71949,-0.00226057,0
28989,8.9979,0.59375,0.005,1.85539e-06,3.71966,-0.00226227,0
28990,9.01274,0.59375,0.005,1.85327e-06,3.71982,-0.0022641,0
28991,9.02755,0.59375,0.005,1.85116e-06,3.71999,-0.00226607,0
28992,9.04235,0.59375,0.005,1.84904e-06,3.72015,-0.00226819,0
28993,9.05714,0.59375,0.005,1.84693e-06,3.72032,-0.00227046,0
28994,9.07191,0.59375,0.005,1.84481e-06,3.72048,-0.00227291,0
28995,9.08666,0.59375,0.005,1.84271e-06,3.72064,-0.00227553,0
28996,9.10139,0.59375,0.005,1.8406e-06,3.7208,-0.00227834,0
28997,9.1161,0.59375,0.005,1.83849e-06,3.72097,-0.00228133,0
28998,9.1308,0.59375,0.005,1.83639e-06,3.72113,-0.00228454,0
28999,9.14549,0.59375,0.005,1.83429e-06,3.72129,-0.00228795,0
29000,9.16015,0.59375,0.005,1.8322e-06,3.72145,-0.00229159,0
29001,9.1748,0.59375,0.005,1.8301e-06,3.72161,-0.00229546,0
29002,9.18943,0.59375,0.005,1.82801e-06,3.72177,-0.00229958,0
29003,9.20405,0.59375,0.005,1.82592e-06,3.72193,-0.00230395,0
29004,9.21865,0.59375,0.005,1.82383e-06,3.72209,-0.0023086,0
29005,9.23323,0.59375,0.005,1.82175e-06,3.72224,-0.00231354,0
29006,9.2478,0.59375,0.005,1.81967e-06,3.7224,-0.00231878,0
29007,9.26235,0.59375,0.005,1.81759e-06,3.72256,-0.00232433,0
29008,9.27688,0.59375,0.005,1.81551e-06,3.72271,-0.00233021,0
29009,9.29139,0.59375,0.005,1.81343e-06,3.72287,-0.00233645,0
29010,9.30589,0.59375,0.005,1.81136e-06,3.72302,-0.00234305,0
29011,9.32038,0.59375,0.005,1.80929e-06,3.72318,-0.00235004,0
29012,9.33484,0.59375,0.005,1.80722e-06,3.72333,-0.00235744,0
29013,9.34929,0.59375,0.005,1.80515e-06,3.72349,-0.00236526,0
29014,9.36372,0.59375,0.005,1.80309e-06,3.72364,-0.00237354,0
29015,9.37814,0.59375,0.005,1.80103e-06,3.72379,-0.00238228,0
29016,9.39254,0.59375,0.005,1.79897e-06,3.72394,-0.00239152,0
29017,9.40692,0.59375,0.005,1.79691e-06,3.72409,-0.00240128,0
29018,9.42129,0.59375,0.005,1.79486e-06,3.72424,-0.00241158,0
29019,9.43564,0.59375,0.005,1.79281e-06,3.72439,-0.00242246,0
29020,9.44998,0.59375,0.005,1.79076e-06,3.72454,-0.00243394,0
29021,9.46429,0.59375,0.005,1.78871e-06,3.72469,-0.00244606,0
29022,9.4786,0.59375,0.005,1.78667e-06,3.72483,-0.00245885,0
29023,9.49288,0.59375,0.005,1.78462e-06,3.72498,-0.00247233,0
